fecha,valor,completo_mediciones,completo_umbral
2018/10/11,0.00,100.0,100.0
2018/10/12,0.00,100.0,100.0
2018/10/13,0.10,100.0,100.0
2018/10/14,0.80,100.0,100.0
2018/10/15,0.00,100.0,100.0
2018/10/16,0.00,100.0,100.0
2018/10/17,0.00,100.0,100.0
2018/10/18,0.20,99.7,100.0
2018/10/19,0.90,100.0,100.0
2018/10/20,0.00,100.0,100.0
2018/10/21,0.00,100.0,100.0
2018/10/22,0.00,100.0,100.0
2018/10/23,0.10,100.0,100.0
2018/10/24,0.00,100.0,100.0
2018/10/25,1.80,100.0,100.0
2018/10/26,0.50,100.0,100.0
2018/10/27,0.40,100.0,100.0
2018/10/28,0.00,100.0,100.0
2018/10/29,0.00,100.0,100.0
2018/10/30,0.00,100.0,100.0
2018/10/31,0.00,100.0,100.0
2018/11/01,0.00,100.0,100.0
2018/11/02,1.50,100.0,100.0
2018/11/03,0.90,100.0,100.0
2018/11/04,1.40,100.0,100.0
2018/11/05,0.40,100.0,100.0
2018/11/06,5.30,100.0,100.0
2018/11/07,0.00,100.0,100.0
2018/11/08,0.30,100.0,100.0
2018/11/09,1.80,100.0,100.0
2018/11/10,1.30,100.0,100.0
2018/11/11,0.00,100.0,100.0
2018/11/12,0.40,100.0,100.0
2018/11/13,0.00,100.0,100.0
2018/11/14,13.20,100.0,100.0
2018/11/15,0.30,100.0,100.0
2018/11/16,0.30,100.0,100.0
2018/11/17,0.00,100.0,100.0
2018/11/18,16.60,100.0,100.0
2018/11/19,5.50,100.0,100.0
2018/11/20,3.10,100.0,100.0
2018/11/21,16.50,99.7,100.0
2018/11/22,9.40,99.7,100.0
2018/11/23,1.00,100.0,100.0
2018/11/24,0.30,100.0,100.0
2018/11/25,2.00,100.0,100.0
2018/11/26,22.00,100.0,100.0
2018/11/27,8.30,100.0,100.0
2018/11/28,0.40,100.0,100.0
2018/11/29,13.80,100.0,100.0
2018/11/30,19.70,100.0,100.0
2018/12/01,3.60,100.0,100.0
2018/12/02,14.20,100.0,100.0
2018/12/03,21.30,100.0,100.0
2018/12/04,3.30,100.0,100.0
2018/12/05,0.20,100.0,100.0
2018/12/06,22.50,100.0,100.0
2018/12/07,1.10,100.0,100.0
2018/12/08,0.00,100.0,100.0
2018/12/09,0.00,100.0,100.0
2018/12/10,1.60,100.0,100.0
2018/12/11,13.80,100.0,100.0
2018/12/12,4.10,100.0,100.0
2018/12/13,0.40,100.0,100.0
2018/12/14,1.10,100.0,100.0
2018/12/15,0.00,100.0,100.0
2018/12/16,0.00,100.0,100.0
2018/12/17,0.30,100.0,100.0
2018/12/18,0.80,99.7,100.0
2018/12/19,9.00,100.0,100.0
2018/12/20,4.50,100.0,100.0
2018/12/21,0.20,100.0,100.0
2018/12/22,0.00,100.0,100.0
2018/12/23,0.00,100.0,100.0
2018/12/24,0.40,100.0,100.0
2018/12/25,4.10,100.0,100.0
2018/12/26,1.30,100.0,100.0
2018/12/27,1.10,100.0,100.0
2018/12/28,1.20,100.0,100.0
2018/12/29,0.60,100.0,100.0
2018/12/30,0.00,100.0,100.0
2018/12/31,0.00,99.7,100.0
2019/01/01,0.40,100.0,100.0
2019/01/02,0.00,100.0,100.0
2019/01/03,1.20,100.0,100.0
2019/01/04,2.70,100.0,100.0
2019/01/05,0.00,100.0,100.0
2019/01/06,0.00,100.0,100.0
2019/01/07,18.40,100.0,100.0
2019/01/08,8.00,100.0,100.0
2019/01/09,0.40,100.0,100.0
2019/01/10,5.00,100.0,100.0
2019/01/11,4.60,100.0,100.0
2019/01/12,16.60,100.0,100.0
2019/01/13,0.30,100.0,100.0
2019/01/14,0.00,100.0,100.0
2019/01/15,1.20,100.0,100.0
2019/01/16,0.00,97.9,95.8
2019/01/17,0.80,100.0,100.0
2019/01/18,1.50,100.0,100.0
2019/01/19,6.30,100.0,100.0
2019/01/20,4.10,100.0,100.0
2019/01/21,0.60,100.0,100.0
2019/01/22,0.30,100.0,100.0
2019/01/23,1.30,100.0,100.0
2019/01/24,0.00,100.0,100.0
2019/01/25,0.00,99.7,100.0
2019/01/26,0.00,99.7,100.0
2019/01/27,0.00,100.0,100.0
2019/01/28,0.20,100.0,100.0
2019/01/29,3.70,100.0,100.0
2019/01/30,11.10,100.0,100.0
2019/01/31,3.00,100.0,100.0
2019/02/01,0.90,100.0,100.0
2019/02/02,0.50,100.0,100.0
2019/02/03,2.70,100.0,100.0
2019/02/04,5.50,100.0,100.0
2019/02/05,2.70,100.0,100.0
2019/02/06,0.20,100.0,100.0
2019/02/07,0.10,100.0,100.0
2019/02/08,1.00,100.0,100.0
2019/02/09,0.00,100.0,100.0
2019/02/10,0.30,100.0,100.0
2019/02/11,0.50,100.0,100.0
2019/02/12,0.40,100.0,100.0
2019/02/13,0.60,100.0,100.0
2019/02/14,0.00,100.0,100.0
2019/02/15,0.00,100.0,100.0
2019/02/16,0.00,100.0,100.0
2019/02/17,0.00,100.0,100.0
2019/02/18,0.60,100.0,100.0
2019/02/19,9.00,100.0,100.0
2019/02/20,0.80,99.0,100.0
2019/02/21,0.40,100.0,100.0
2019/02/22,0.00,100.0,100.0
2019/02/23,1.80,100.0,100.0
2019/02/24,39.90,99.7,100.0
2019/02/25,19.20,100.0,100.0
2019/02/26,0.10,100.0,100.0
2019/02/27,8.70,100.0,100.0
2019/02/28,2.40,100.0,100.0
2019/03/01,16.90,100.0,100.0
2019/03/02,0.50,100.0,100.0
2019/03/03,0.00,100.0,100.0
2019/03/04,0.00,100.0,100.0
2019/03/05,0.00,100.0,100.0
2019/03/06,0.00,100.0,100.0
2019/03/07,0.10,100.0,100.0
2019/03/08,0.00,100.0,100.0
2019/03/09,0.00,100.0,100.0
2019/03/10,2.80,100.0,100.0
2019/03/11,0.30,100.0,100.0
2019/03/12,0.00,100.0,100.0
2019/03/13,0.20,100.0,100.0
2019/03/14,0.10,100.0,100.0
2019/03/15,0.30,100.0,100.0
2019/03/16,0.00,100.0,100.0
2019/03/17,0.00,100.0,100.0
2019/03/18,0.00,100.0,100.0
2019/03/19,28.30,100.0,100.0
2019/03/20,5.70,99.7,100.0
2019/03/21,3.70,100.0,100.0
2019/03/22,6.00,100.0,100.0
2019/03/23,0.20,100.0,100.0
2019/03/24,0.40,100.0,100.0
2019/03/25,0.00,100.0,100.0
2019/03/26,0.00,100.0,100.0
2019/03/27,0.00,100.0,100.0
2019/03/28,0.60,100.0,100.0
2019/03/29,0.00,100.0,100.0
2019/03/30,0.00,100.0,100.0
2019/03/31,0.00,100.0,100.0
2019/04/01,0.30,100.0,100.0
2019/04/02,6.10,100.0,100.0
2019/04/03,33.10,100.0,100.0
2019/04/04,7.80,99.7,100.0
2019/04/05,7.80,100.0,100.0
2019/04/06,1.90,100.0,100.0
2019/04/07,0.60,100.0,100.0
2019/04/08,0.00,100.0,100.0
2019/04/09,0.00,100.0,100.0
2019/04/10,0.20,100.0,100.0
2019/04/11,0.00,100.0,100.0
2019/04/12,0.00,100.0,100.0
2019/04/13,0.00,100.0,100.0
2019/04/14,0.00,100.0,100.0
2019/04/15,0.00,100.0,100.0
2019/04/16,0.00,100.0,100.0
2019/04/17,0.00,100.0,100.0
2019/04/18,0.00,100.0,100.0
2019/04/19,1.20,100.0,100.0
2019/04/20,3.00,100.0,100.0
2019/04/21,6.60,100.0,100.0
2019/04/22,1.20,100.0,100.0
2019/04/23,13.10,100.0,100.0
2019/04/24,18.90,100.0,100.0
2019/04/25,0.10,100.0,100.0
2019/04/26,2.40,100.0,100.0
2019/04/27,3.70,99.7,100.0
2019/04/28,0.20,100.0,100.0
2019/04/29,2.80,99.7,100.0
2019/04/30,2.30,100.0,100.0
2019/05/01,0.00,100.0,100.0
2019/05/02,0.00,100.0,100.0
2019/05/03,1.00,99.7,100.0
2019/05/04,6.20,100.0,100.0
2019/05/05,5.00,100.0,100.0
2019/05/06,15.90,100.0,100.0
2019/05/07,10.30,100.0,100.0
2019/05/08,0.80,100.0,100.0
2019/05/09,2.80,100.0,100.0
2019/05/10,0.20,100.0,100.0
2019/05/11,0.00,100.0,100.0
2019/05/12,2.70,100.0,100.0
2019/05/13,28.60,100.0,100.0
2019/05/14,37.80,100.0,100.0
2019/05/15,13.20,100.0,100.0
2019/05/16,0.00,100.0,100.0
2019/05/17,5.00,100.0,100.0
2019/05/18,0.00,100.0,100.0
2019/05/19,19.30,100.0,100.0
2019/05/20,0.30,99.7,100.0
2019/05/21,0.00,100.0,100.0
2019/05/22,0.00,100.0,100.0
2019/05/23,1.20,100.0,100.0
2019/05/24,11.60,100.0,100.0
2019/05/25,7.10,100.0,100.0
2019/05/26,6.40,100.0,100.0
2019/05/27,0.00,100.0,100.0
2019/05/28,0.00,100.0,100.0
2019/05/29,6.60,100.0,100.0
2019/05/30,5.40,100.0,100.0
2019/05/31,6.90,100.0,100.0
2019/06/01,0.60,100.0,100.0
2019/06/02,3.60,100.0,100.0
2019/06/03,0.30,100.0,100.0
2019/06/04,7.40,99.7,100.0
2019/06/05,4.20,100.0,100.0
2019/06/06,0.00,100.0,100.0
2019/06/07,0.00,100.0,100.0
2019/06/08,0.90,100.0,100.0
2019/06/09,9.60,100.0,100.0
2019/06/10,5.10,100.0,100.0
2019/06/11,11.00,100.0,100.0
2019/06/12,7.50,99.7,100.0
2019/06/13,10.30,100.0,100.0
2019/06/14,5.00,100.0,100.0
2019/06/15,1.00,100.0,100.0
2019/06/16,0.30,100.0,100.0
2019/06/17,5.60,100.0,100.0
2019/06/18,12.70,99.3,100.0
2019/06/19,0.00,100.0,100.0
2019/06/20,32.90,100.0,100.0
2019/06/21,33.90,100.0,100.0
2019/06/22,9.90,100.0,100.0
2019/06/23,12.10,100.0,100.0
2019/06/24,15.60,100.0,100.0
2019/06/25,0.20,100.0,100.0
2019/06/26,0.00,100.0,100.0
2019/06/27,0.00,99.7,100.0
2019/06/28,1.80,100.0,100.0
2019/06/29,16.40,100.0,100.0
2019/06/30,6.00,100.0,100.0
2019/07/01,1.50,100.0,100.0
2019/07/02,0.00,100.0,100.0
2019/07/03,0.00,100.0,100.0
2019/07/04,0.00,100.0,100.0
2019/07/05,1.20,100.0,100.0
2019/07/06,1.60,100.0,100.0
2019/07/07,9.50,100.0,100.0
2019/07/08,21.30,100.0,100.0
2019/07/09,7.50,100.0,100.0
2019/07/10,0.40,100.0,100.0
2019/07/11,0.00,99.7,100.0
2019/07/12,0.80,100.0,100.0
2019/07/13,4.30,100.0,100.0
2019/07/14,33.60,100.0,100.0
2019/07/15,22.70,100.0,100.0
2019/07/16,0.10,100.0,100.0
2019/07/17,1.20,99.7,100.0
2019/07/18,0.50,100.0,100.0
2019/07/19,2.60,100.0,100.0
2019/07/20,8.20,100.0,100.0
2019/07/21,4.10,100.0,100.0
2019/07/22,7.00,100.0,100.0
2019/07/23,13.80,100.0,100.0
2019/07/24,7.40,100.0,100.0
2019/07/25,2.50,100.0,100.0
2019/07/26,1.40,100.0,100.0
2019/07/27,0.60,100.0,100.0
2019/07/28,0.30,100.0,100.0
2019/07/29,0.30,100.0,100.0
2019/07/30,0.60,99.3,100.0
2019/07/31,10.80,99.7,100.0
2019/08/01,0.00,100.0,100.0
2019/08/02,5.30,100.0,100.0
2019/08/03,10.50,100.0,100.0
2019/08/04,8.60,99.7,100.0
2019/08/05,0.00,100.0,100.0
2019/08/06,0.00,100.0,100.0
2019/08/07,0.00,100.0,100.0
2019/08/08,1.20,100.0,100.0
2019/08/09,0.30,100.0,100.0
2019/08/10,0.20,100.0,100.0
2019/08/11,0.80,100.0,100.0
2019/08/12,0.00,99.7,100.0
2019/08/13,14.50,95.8,91.7
2019/08/14,10.60,100.0,100.0
2019/08/15,13.10,100.0,100.0
2019/08/16,0.90,100.0,100.0
2019/08/17,0.00,100.0,100.0
2019/08/18,0.60,100.0,100.0
2019/08/19,0.30,100.0,100.0
2019/08/20,2.20,97.6,95.8
2019/08/21,7.70,100.0,100.0
2019/08/22,5.70,100.0,100.0
2019/08/23,0.80,100.0,100.0
2019/08/24,0.30,100.0,100.0
2019/08/25,0.00,100.0,100.0
2019/08/26,0.20,100.0,100.0
2019/08/27,0.00,100.0,100.0
2019/08/28,1.80,100.0,100.0
2019/08/29,0.20,100.0,100.0
